Episode,Reward,Epsilon,Success
1,-96.30468951113293,0.6057704364907278,0
2,-70.95179025436907,0.3976004408064698,1
3,-100.0,0.2408545925762412,0
4,-100.0,0.14590259167570602,0
5,-100.0,0.08838347664452084,0
6,-94.81160604940004,0.05354009722551939,0
7,-95.64057462201696,0.032433008066058915,0
8,-93.3570792709719,0.01964695745288379,0
9,-67.383070628067,0.01190154599194817,0
10,-13.165377893124845,0.010447285872500434,1
11,-26.461309631837835,0.01,1
12,-18.572214299186697,0.01,1
13,-31.253555790368964,0.01,1
14,-98.13340888145633,0.01,0
15,-15.540163787578933,0.01,1
16,-98.76350980251819,0.01,0
17,-99.77528473628703,0.01,0
18,-100.0,0.01,0
19,-97.76801065439903,0.01,0
20,-98.73288595332156,0.01,0
21,-100.0,0.01,0
22,-90.28721674044809,0.01,0
23,-93.12482022987044,0.01,0
24,-72.45694531892889,0.01,0
25,-73.08895857125825,0.01,0
26,-73.03104201308244,0.01,0
27,-81.22707932340333,0.01,0
28,-70.21951961218075,0.01,0
29,-18.111307533866572,0.01,1
30,-22.31447711708768,0.01,1
31,-34.56040525755606,0.01,1
32,-76.11054896342385,0.01,0
33,-32.21141000634931,0.01,1
34,-84.46771195900648,0.01,0
35,-22.65293069091119,0.01,1
36,-79.06116317142104,0.01,0
37,-27.3136776114307,0.01,1
38,-21.120414936563513,0.01,1
39,-84.66137708749935,0.01,0
40,-78.55066553478947,0.01,0
41,-79.56949174747419,0.01,0
42,-28.02413067227617,0.01,1
43,-30.45490864279592,0.01,1
44,-10.923636492745615,0.01,1
45,-19.82299962772511,0.01,1
46,-62.310798969108134,0.01,0
47,-26.141935491957163,0.01,1
48,-18.20120351054188,0.01,1
49,-80.76344869996925,0.01,0
50,-49.29850640865599,0.01,0
51,-14.25556865095161,0.01,1
52,-16.635374863206014,0.01,1
53,-25.2915873412368,0.01,1
54,-36.33687742330519,0.01,0
55,-98.48671133581212,0.01,0
56,-59.85073693816012,0.01,1
57,-0.7817414464603745,0.01,1
58,-27.36902689761029,0.01,1
59,-89.41636114093222,0.01,0
60,-3.0500329550334726,0.01,1
61,-38.13626325584018,0.01,1
62,-27.751876313978002,0.01,1
63,-2.3791154292038783,0.01,1
64,-3.6351370262434637,0.01,1
65,-8.985986919450413,0.01,1
66,-1.763904097958065,0.01,1
67,-100.0,0.01,0
68,-12.186308764964355,0.01,1
69,-18.028215630881526,0.01,1
70,-9.386308764964351,0.01,1
71,-8.913786213608208,0.01,1
72,-100.0,0.01,0
73,-14.034101163946556,0.01,1
74,-19.31341519155699,0.01,1
75,-12.445674699078918,0.01,1
76,-16.79110280658066,0.01,1
77,-14.19774890178184,0.01,1
78,-18.420095817012566,0.01,1
79,-21.234248842190866,0.01,1
80,-9.834815307286348,0.01,1
81,-14.56862730205502,0.01,1
82,-21.465771741509613,0.01,1
83,-37.16822253334963,0.01,1
84,-16.73836692525296,0.01,1
85,-10.572203184960536,0.01,1
86,-19.087792497158837,0.01,1
87,-14.168078590741576,0.01,1
88,-9.279987724258405,0.01,1
89,-9.441040013067568,0.01,1
90,-11.32518219705686,0.01,1
91,-11.073223444598579,0.01,1
92,-18.50564949794982,0.01,1
93,-11.372203184960537,0.01,1
94,-9.375021581139961,0.01,1
95,-11.071770618550502,0.01,1
96,-11.187657987806897,0.01,1
97,-11.372203184960537,0.01,1
98,-11.071770618550502,0.01,1
99,-29.358956681979414,0.01,1
100,-16.322798715594367,0.01,1
101,-11.272203184960535,0.01,1
102,-16.433580853615137,0.01,1
103,-23.01447188932792,0.01,1
104,-12.79523083263414,0.01,1
105,-9.388483840515232,0.01,1
106,-8.53739786089217,0.01,1
107,-9.119953219282596,0.01,1
108,-5.557539820798979,0.01,1
109,-10.188483840515232,0.01,1
110,-8.58848384051523,0.01,1
111,-7.67512935545923,0.01,1
112,-12.470501804115184,0.01,1
113,-9.388483840515232,0.01,1
114,-8.58848384051523,0.01,1
115,-9.388483840515232,0.01,1
116,-14.099506947362702,0.01,1
117,-6.975129355459231,0.01,1
118,-7.918143129958775,0.01,1
119,-5.663185178397439,0.01,1
120,-8.100062350105421,0.01,1
121,-9.976660678995767,0.01,1
122,-7.77502158113996,0.01,1
123,-8.99319025356392,0.01,1
124,-7.676660678995766,0.01,1
125,-4.757539820798979,0.01,1
126,-10.59227189914953,0.01,1
127,-8.58848384051523,0.01,1
128,-7.78848384051523,0.01,1
129,-6.988483840515229,0.01,1
130,-8.973824424694243,0.01,1
131,-6.039657620548715,0.01,1
132,-14.099506947362702,0.01,1
133,-14.099506947362702,0.01,1
